date,Baseline_V7.3,Idea_H_ConvexExit,Idea_I_TLT_Bear,Idea_J_QQQ/IWM,Idea_K_VIX_ScaleUp,Idea_L_DBC_Tilt,Idea_M_Tier1_Size,Ideas_H+I+K,Ideas_H+I+J+K,All_6_combined
2007-08-31,290218.6013854188,270515.73166455823,292926.6831522521,299782.710364695,290406.3116011208,290335.8503074971,290290.19143585325,273193.69962683885,282213.0406906895,282418.93165517465
2007-09-30,306694.67297953507,286399.7305609713,309556.4953590505,317783.064398758,305971.80573734525,306818.5777968852,306770.32667308406,288366.719045757,298809.12966032856,299027.1277432082
2007-10-31,314500.7731528399,292645.18333150184,317435.4317634792,327217.7685237995,316328.7970808937,314529.75739029044,314578.3469424598,297068.7424753405,309093.31508214946,309222.4021157235
2007-11-30,294549.73204929393,274084.46029804455,298450.2420009006,306276.00666241994,296261.7790641627,294577.29132294527,294622.384046394,279305.56238529715,290436.63105320366,290558.341125681
2007-12-31,302926.46049790405,281415.8045901045,308099.96094332513,315526.1791106266,304687.2062812942,303689.34857935685,303001.18182801607,287863.2878493789,299850.5903220387,300703.6408949561
2008-01-31,330249.4104362795,306866.38943616906,336223.9033338586,343915.8997615455,332168.96772379207,331013.707606612,330330.8681369509,314208.7997530331,327227.0420299838,328091.6716728262
2008-02-29,334520.51745037484,310834.29568018124,341262.2132598775,348364.6040799121,335452.46508593735,335295.5066711221,334603.03190291976,317956.7813581029,331131.1144602287,332006.84368292923
2008-03-31,335882.8763363386,312100.19095907564,343900.8170734703,349783.34181427525,339563.2308842291,336661.0244712853,335965.72878335265,323020.0659742816,336404.1927380104,337293.8714526275
2008-04-30,336340.16498176695,312525.09523081937,344011.5749099112,350259.5540362416,345016.16268771637,337119.37243142095,336423.1225237863,327857.6011083874,341442.16240208945,342345.1676489083
2008-05-31,342687.1499991019,318285.3983682539,350503.2292833848,356869.2150904322,351526.8710465807,343481.0658699881,342771.6750839418,333900.40457067895,347735.3520800699,348654.9942254799
2008-06-30,344452.53476417717,319925.7490179415,352835.3248849388,358707.6608956904,353337.791603832,345250.5403198398,344537.4910628647,336122.73439371213,350049.7654238348,350975.53058448865
2008-07-31,367514.48287978093,341354.94210789737,377087.3701024358,382724.0222038992,376994.638300461,368365.91944478004,367605.12989159976,359235.8784076993,374120.57871687465,375110.0051752874
2008-08-31,367622.1884282783,341454.936496453,378141.7256612898,382836.18980283936,377105.1218568162,368473.883707176,367712.8654117592,360240.2726228241,375166.59526867286,376158.7841267165
2008-09-30,375281.63014282094,348569.1831942608,386498.2437955368,390812.62015819305,383803.7785210689,376151.0733435495,375374.1962061178,367093.2654138307,382303.5352664638,383314.59175882465
2008-10-31,417490.5778253462,387773.70708899567,430365.77011523675,434768.3773480763,435041.6613481867,418457.8125152788,417593.55526578665,416473.71666562266,433730.0333527527,434877.1102178749
2008-11-30,425451.95135769394,395168.3847390467,443666.7033650332,443059.23020761774,451662.42875466304,426437.63023156003,425556.8930518291,437369.99254990363,455492.1351912693,456696.7648939826
2008-12-31,435835.95446104626,404813.25970438414,459116.3963723007,453872.9779789618,472194.1563572508,436845.6934595474,435943.4614251267,461765.6629098868,480898.62735903694,482170.4479925083
2009-01-31,498371.06807688787,462897.1396575932,521144.2320081717,518996.09712759935,549267.0563827034,499525.6840086532,498494.0010815887,533339.2239528488,555437.7939639253,556906.7416349504
2009-02-28,505976.3489407763,469961.07315665076,529114.9274634055,526916.115798891,557721.3932263523,507148.5765912332,506101.152708227,541565.5640373412,564004.9903698838,565496.5967733099
2009-03-31,515783.86476137146,479070.49885266245,540157.2973422287,537129.5203304545,580242.5435777765,516978.8204434226,515911.0923483964,564248.1999985508,587627.4646781462,589181.5471337753
2009-04-30,525451.5282265282,488050.02128459787,551726.2605158522,547197.2836600526,591118.3988623263,526668.8830772861,525581.1469763793,576333.134430985,600213.1282604932,601800.4977711705
2009-05-31,576013.7208538098,535013.2000213931,604590.6615446827,599851.9815706635,646800.547931272,577348.203673658,576155.8041183916,630392.0232411011,656511.9100817096,658248.1785917565
2009-06-30,543833.6974371619,506376.4201411275,570814.139026918,566892.9208207096,610665.8968906259,544252.7907750853,543967.8483882896,596650.0579352591,621984.8491785957,622669.6155308574
2009-07-31,600040.5805384637,556489.3445360416,629809.5397404273,628810.1914838374,673780.0998406578,600517.9073540109,600188.5966431634,655696.7996472681,687178.8530996421,687952.2820745043
2009-08-31,611235.797139305,566785.7050350863,641560.1626410247,641051.8614942568,686351.0996268543,609771.0555629925,611386.5729648935,667828.7284289919,700450.5765428239,699001.5126311119
2009-09-30,697939.3444936066,649249.9575586396,732565.199291481,734337.5655780223,783709.7155593506,696283.9965320749,698111.500143083,764994.1884322618,804939.7163509001,803294.3387499455
2009-10-31,630530.348915134,589660.8251561417,661811.9359478957,660557.5320536967,708016.7734811372,629034.8619702396,630685.8787781569,694781.8790969951,727917.10102636,726429.1480298399
2009-11-30,634652.4709397538,595389.2211791694,666138.5645558315,667240.5350295991,712645.4708275215,633147.2142436607,634809.0171700545,701531.4977115071,737602.1390809354,736094.3830993165
2009-12-31,761629.640259682,702986.2547279465,799415.2713081929,803086.835230962,855226.976214221,759823.2101669003,761303.403611691,828310.2543291141,873470.6281118162,871094.8069000102
2010-01-31,731833.9540126862,674875.8802736064,768141.3720946762,768535.2403266821,821769.6639022188,730098.1925074263,731521.8066280696,795188.5393950754,835138.0266320665,832868.0010283889
2010-02-28,698303.0368941834,645534.5677673348,732946.9749574488,735115.1023036451,784118.196209783,696646.8060440241,698424.1641984497,760616.5758188411,800786.4996585335,799008.6670345385
2010-03-31,759770.6553029601,697610.96262127,797464.1011560326,803540.6380621181,853139.6314372935,757968.630853791,759902.4534805353,821976.8377597348,869428.0161139572,867497.7913283492
2010-04-30,833138.6367901518,762110.4297159162,874471.9862561832,884037.6715705004,935523.8759528287,831162.5952533341,833283.1597676665,897974.880271375,952951.8633839698,950836.2049333083
2010-05-31,794538.996820812,725529.3685727885,835658.20252962,842216.7112185878,889472.7951783508,791884.6075779223,794676.8229551158,854015.9474281186,905373.2013093287,902484.1704305895
2010-06-30,781473.6636264055,713598.8580531806,826498.2169689407,828318.394055019,895577.3766220838,778861.048686386,781609.2238064824,864591.4336373539,916478.8603512861,913550.096839
2010-07-31,790527.4736363954,721866.2992472174,835985.918894836,837914.925611232,905953.1410883736,787884.5902546077,790664.5996140573,874516.4257854994,926999.4902895453,924037.101444525
2010-08-31,789250.3406085687,730897.8643650592,840070.8462055482,837403.4688890364,903656.0903718862,786580.8558271388,789387.2348209124,890417.9970517447,944811.823907193,941757.196153596
2010-09-30,821574.0691209745,756705.3882992578,870937.010033775,871699.3102804581,940665.3049572264,818795.2617019586,821716.5723153464,918127.5030188919,974214.039922985,971064.3607754544
2010-10-31,841396.761874114,776863.6314592407,891950.714027462,896052.7945064699,963361.3940314327,838550.9039364442,841542.6949267227,942585.942475791,1003890.4253503131,1000644.7918446787
2010-11-30,951705.4239222922,869738.0744604903,1008887.0967447504,1013262.7837386555,1086376.2370816516,950576.7540375073,951870.4903645894,1052081.9729018374,1120231.596278193,1119067.9638885185
2010-12-31,1034570.9401983054,942460.3155102989,1096731.444972887,1106565.3058101705,1185637.5861742313,1034609.9085545646,1034750.3746635233,1144588.4827604028,1224335.2231984355,1224558.671758447
2011-01-31,1108808.8933898532,1008542.2746308671,1175429.9271110275,1185705.0643687232,1270732.516297886,1108851.689212614,1109001.2047037818,1224859.4194498712,1309910.4531612468,1310150.7251202916
2011-02-28,1247628.194204401,1132227.0283091592,1322589.9647691334,1338349.638157971,1429824.1287801221,1247866.5118896142,1247844.5818979493,1375072.688688949,1475184.1425213302,1475674.9410864497
2011-03-31,1469626.9313064942,1313794.6321216498,1557927.1491460968,1578638.207827834,1684242.1869438223,1469689.548775775,1469881.8185180777,1595583.8069161598,1714125.9201564526,1714442.924516037
2011-04-30,1490141.817931672,1329572.8776533513,1579674.6397779712,1603065.3539477526,1707752.9400751898,1488309.224790264,1490400.262547358,1614746.2481670475,1737309.7325293536,1735423.1865637235
2011-05-31,1768196.8559777725,1558540.3536185916,1874436.1697238446,1899665.9361199958,2026413.4147577705,1760933.6281220193,1768503.5204956024,1892823.793087399,2033773.41959209,2025700.3156865477
2011-06-30,1568885.1999301517,1424452.0062265822,1663149.1896922719,1682683.9025406197,1797995.5160813467,1562467.7666299967,1569157.2956362308,1729975.5148563003,1855699.7281292481,1848365.214307902
2011-07-31,1591006.708381681,1438517.6956738092,1686599.8303807704,1708165.690987185,1823347.5140320018,1584498.7922339716,1591282.6439974983,1747058.0817579243,1875968.1795831867,1868553.5517366931
2011-08-31,1450683.9131518663,1283778.1158963249,1549001.6832240878,1556846.1775751556,1657831.0560070698,1444446.804289885,1446837.1497411644,1566190.9806465155,1681032.8055556116,1669230.7595822476
2011-09-30,1467451.2441725002,1299326.909346371,1582724.256332725,1574842.988150025,1709180.1656026756,1461148.838093991,1463651.8226660907,1632518.0572173365,1752229.1165856544,1740164.8875555682
2011-10-31,1504744.0585581444,1332347.1281270995,1622263.8286091317,1614864.9848641749,1794406.8749789333,1498281.4798936967,1500848.0815478424,1713006.6841412806,1838619.9106682164,1825960.8743486411
2011-11-30,1517302.436863963,1344125.1523552525,1640975.8451588415,1628342.4176028196,1809382.7416903395,1510785.9224056862,1513373.9475430935,1733611.5170510658,1860735.6706710632,1847924.3660739965
2011-12-31,1530341.0149044355,1355675.5753294295,1661329.9822455386,1642335.1919504663,1824931.2419292827,1523768.5005130612,1526378.7628381553,1755114.6834357816,1883815.6399746493,1870845.4342531657
2012-01-31,1580135.9133724645,1400041.2652569818,1715377.1443357042,1702826.325303611,1884311.638799743,1573349.5401150337,1576044.7321555873,1812541.906166082,1953545.4589371574,1940095.157839909
2012-02-29,1729364.162138727,1534011.0179821055,1877377.588704395,1866411.0422843192,2062266.2729300898,1721936.876610911,1724886.6060017894,1985983.7809066246,2143660.8004826778,2128901.5359858605
2012-03-31,1910017.9320674988,1667752.0338106751,2073493.224793636,2067260.7939456236,2277695.84912744,1896874.6151709137,1905133.0390804163,2159129.5327009386,2337298.61981415,2315125.291874398
2012-04-30,1721057.3988359203,1555030.1244815162,1868359.876638236,1861179.5998042552,2052360.466829388,1708113.0884435712,1716655.7752328455,2013195.8515514063,2177526.7864374868,2155522.4672299135
2012-05-31,1370405.7983967722,1226178.310009716,1487696.579790612,1474427.3744464242,1634208.5328108496,1360099.1015609524,1366900.9573466054,1587452.902489368,1708232.5753688447,1690970.277422354
2012-06-30,1584128.6540512647,1416376.9206858266,1719711.6236223222,1707914.533550127,1889072.9781700536,1572214.5590835211,1580077.2165433734,1833690.6064670493,1977299.402481541,1957318.0864989606
2012-07-31,1725102.3386279903,1529530.7308848174,1872751.0194435115,1858018.783644896,2057184.06193813,1712127.998139976,1720690.3645977906,1980183.4521148223,2133132.1766248173,2111576.119597123
2012-08-31,1828788.2861923107,1617073.4193281538,1985311.2758175242,1975558.150463168,2180829.5241447645,1815034.1306824067,1824111.1354532961,2093519.2474869275,2261938.722518286,2239081.026682987
2012-09-30,1915143.9141773486,1682489.4788306502,2079057.938919439,2069976.4671261527,2283808.585032845,1902010.8723583617,1910245.9083493173,2178209.142637718,2354745.4297346477,2332518.1235869075
2012-10-31,1770332.4609359792,1524758.3081119165,1921852.3125549597,1906925.374483535,2111120.9695839453,1757956.8171360884,1765804.8104925626,1974004.9075232137,2126692.8070057994,2106327.120248643
2012-11-30,1724703.1744250522,1482485.8741266285,1872037.9850802135,1859899.3867536562,2056708.0585511485,1712647.734077328,1720292.221250066,1918989.7670975826,2069800.51468627,2049981.6610295987
2012-12-31,1919324.01329677,1638387.867005775,2083284.5364719944,2074002.2276620257,2288793.345605446,1905908.1919391595,1914415.315028458,2120795.6268763365,2292171.704087794,2270223.587685813
2013-01-31,2090624.529783461,1785901.2810023779,2269218.6006186707,2267043.263620404,2493069.161225229,2076011.337348436,2085277.7301217278,2311742.964688786,2507324.627692286,2483316.364511083
2013-02-28,2146923.306111435,1830380.0525198895,2330326.7662976165,2329467.875543448,2560205.436013849,2131916.592077541,2141432.522317701,2369318.088210722,2571312.6420600717,2546691.6766044544
2013-03-31,2246230.9175846265,1909486.4673260893,2438117.8464545696,2443933.7089266023,2678629.733694106,2230530.0548801376,2240486.1546318945,2471716.6357337665,2689850.6878592703,2664094.6890205224
2013-04-30,2274777.8402969693,1946310.5718249166,2469103.422922936,2474484.237206626,2712671.930625102,2258877.4376422637,2268960.0682157995,2519383.2479938813,2741157.1848084503,2714909.9129594634
2013-05-31,2564282.895107719,2204596.4939599126,2783339.78567206,2794965.9922164553,3057906.6241571014,2546358.885581409,2557724.7136949324,2853719.007314016,3111118.124797556,3081328.3776107193
2013-06-30,2509101.9195301323,2157019.970924363,2723444.9107135925,2729836.8605019753,2992103.3265700466,2491563.618251463,2504254.267961637,2792134.029143503,3038442.0557519738,3011227.9039394683
2013-07-31,2538326.472515217,2171598.11292772,2755166.002152131,2773468.681110219,3026953.5961275185,2520583.898503367,2533422.30940909,2811004.570168484,3072125.2954681185,3044609.3995064856
2013-08-31,2392877.9692772757,2078861.2159930621,2597292.3899878464,2608827.5620308355,2853506.298266832,2376152.0630610576,2388254.817393371,2690962.1739751473,2934474.7643377488,2908191.7553073233
2013-09-30,2643916.6628354657,2298039.88866094,2869776.357511077,2890610.409077747,3152869.8673428013,2625436.0252156304,2638808.494752612,2974675.925962893,3252972.4435845218,3223836.7635016637
2013-10-31,2618562.472339185,2290806.3081864035,2842256.2550326395,2870937.349897774,3122635.004364257,2600259.0541643645,2613503.287970698,2965312.492262801,3251873.2271344173,3222747.3981124503
2013-11-30,2829666.1446825685,2494715.4572723266,3071393.7058654414,3108921.058063986,3374376.0724775945,2809887.1363501456,2824199.1003573593,3229260.7535890215,3548773.521132679,3516988.4614964356
2013-12-31,3237220.974782817,2852822.8728342606,3513764.3839076147,3562375.4070237833,3860385.088266574,3214593.2054370074,3230966.5195549363,3692809.497934496,4064713.978096071,4028307.822410915
2014-01-31,3124567.6189354695,2770056.1376140565,3391487.48325176,3434454.0046133497,3726045.994344018,3102727.2837202116,3118530.8142121686,3585672.8830748443,3942239.9757271567,3906930.775437789
2014-02-28,3507504.8537122267,3103979.091474214,3807137.582162423,3865842.426090016,4182698.5385751408,3482987.835490373,3500728.2007759963,4017916.2770155827,4429570.113768879,4389896.072485911
2014-03-31,3723535.8666378516,3279181.490710324,4041623.297591743,4096975.150309317,4440315.4586316515,3697508.8161378885,3716341.8338647503,4244705.358706302,4671660.462899113,4629818.104437204
2014-04-30,3910794.5572256846,3469910.234040899,4244878.780886664,4302273.650646582,4663621.392595629,3883458.5904828995,3903238.734004443,4491592.369275109,4942586.191633301,4898317.247021575
2014-05-31,4179708.7423107415,3766085.3985921503,4536765.27435844,4609949.931056683,4984301.480039804,4151919.1996433716,4172417.4665590436,4874973.499083168,5378263.94665482,5332743.61691866
2014-06-30,4889851.679514262,4400055.965707092,5307573.002155783,5402686.333905783,5831146.723861216,4857341.771587812,4882627.313191086,5695610.677901434,6294710.4069111105,6243103.723298152
2014-07-31,4901806.61976537,4386042.155967186,5320549.206927974,5419785.803770615,5827863.671586603,4869217.229787844,4894563.918197838,5660435.256804787,6260375.053016488,6209049.864860336
2014-08-31,4858316.9251134405,4345944.556005589,5273344.354367218,5387107.675722498,5775285.293428365,4826016.674492391,4851138.481979355,5607898.159858365,6220159.934936593,6169164.4470467735
2014-09-30,4115164.4839710584,3706296.2872855645,4466707.245725316,4560840.014518242,4891868.790045069,4087805.046541887,4109084.0875884313,4782512.033721306,5302055.126308406,5258586.65418089
2014-10-31,3432623.53700646,3064290.6912966133,3728598.6976706274,3812957.1149948332,4080503.716656281,3409801.941213848,3438290.9183444567,3957008.2700316533,4396695.622687082,4374430.287745303
2014-11-30,3667609.2068866794,3278322.0930140405,3983845.813526173,4084883.8164587705,4359841.046544169,3643225.3198724017,3673664.559270068,4233393.282726503,4716385.441107939,4692501.160643695
2014-12-31,3762231.3066188483,3385131.728177233,4086483.9893872663,4183373.266650078,4472322.316681006,3737218.3353549717,3767883.647488906,4371167.420442527,4861945.282241774,4836608.753869515
2015-01-31,3814225.541042911,3431248.679506662,4142959.4200454615,4233071.057021157,4534130.049754174,3788866.8923466634,3819956.0351855895,4430717.513735428,4918732.331892822,4893099.901039488
2015-02-28,4150669.6998637733,3732508.960666903,4508400.441785687,4625493.29473788,4934075.3430829095,4123074.2164639714,4156905.6719290395,4819730.176455511,5372716.326333575,5344718.098755544
2015-03-31,4787334.703496101,4307791.721164163,5199937.325070174,5339472.831668876,5690905.762155588,4755506.384793811,4794926.783896181,5562583.840295067,6206091.715068519,6174269.561059619
2015-04-30,4852553.141267203,4311624.4934616145,5270776.697998141,5403929.924630962,5768433.657634019,4820291.22096599,4860248.649961513,5567533.039603356,6202149.634369265,6170347.693751398
2015-05-31,5100472.211865805,4535613.353865041,5540062.991671255,5687534.400290359,6063145.464527785,5064313.543201561,5108560.887962729,5856766.3388182,6532984.699692628,6496614.705800989
2015-06-30,5346195.043382281,4709144.907667126,5806963.760959296,5952527.975329984,6355246.509224796,5308303.513367864,5354414.163086952,6080844.9109740835,6772731.6045362605,6734702.898781256
2015-07-31,5184244.027570251,4577863.600790333,5631054.789413732,5787266.049508934,6162728.538617867,5147500.338546775,5192214.166784412,5911323.41992462,6601089.658169759,6564024.718434417
2015-08-31,4730531.694359497,4179311.5478181113,5127282.445306049,5275534.387147246,5623381.642095709,4697003.727228697,4737804.30522655,5385172.105250321,6007568.866513729,5973836.532955462
2015-09-30,5185043.863373442,4582003.24487012,5649269.453776042,5782366.332475123,6163679.3437380865,5148294.5007516295,5193015.188915729,5934894.35068393,6620770.683968708,6583595.217250384
2015-10-31,5232510.019205221,4623122.508566689,5706311.549272531,5835300.638280508,6220104.358234334,5195424.236530485,5240554.312741006,5993749.079247514,6686427.065349112,6648882.94246459
2015-11-30,5371030.193004152,4740730.173813326,5857374.496192184,6002430.576270403,6384769.10765775,5332962.641169238,5379287.450453193,6146223.952156724,6871015.0835595615,6832434.49957152
2015-12-31,4888338.356826611,4321345.298102752,5336443.230837593,5470554.964139884,5810973.059168787,4853691.925182007,4895853.538871307,5608251.196551227,6278277.631541699,6243025.258243737
2016-01-31,4892228.439266642,4324784.17262842,5364067.627415139,5474879.972332944,5815597.359368213,4857554.429464899,4899749.6018202165,5637282.628736479,6310744.874064154,6275310.198485016
2016-02-29,4958036.317775808,4382959.060308547,5449618.862656785,5548525.390116287,5893825.940205976,4922895.884718447,4965658.653425307,5727191.3520198325,6411394.607895908,6375394.79249825
2016-03-31,5276926.743933683,4674808.546222794,5791520.917243296,5904959.708974769,6272904.372892555,5239526.146410958,5285039.342287146,6099484.370551632,6827661.791174013,6789324.644623835
2016-04-30,5466243.352329485,4827996.37546133,5999299.238607755,6122970.242302849,6497952.972554543,5427500.958527608,5474647.000776875,6299357.085442148,7058558.945812399,7018925.315787657
2016-05-31,5750048.3642847575,5026075.281784216,6310780.28117293,6449109.204659413,6835323.902395357,5709294.479610232,5758888.325495643,6557801.720816272,7357554.894159677,7316242.40771629
2016-06-30,5486312.220510023,4817902.9338564,6033565.405965287,6165896.103712854,6521809.672452311,5447427.578519875,5494746.719428347,6298942.257105991,7081542.200679923,7041779.5229765205
2016-07-31,5631951.576065902,4945107.1751264,6193697.961562222,6351218.76759211,6694937.28799818,5595058.548550043,5640609.975970042,6465225.083060162,7293350.631286836,7256320.3089824645
2016-08-31,5788076.825064827,5056511.328253063,6365395.572541666,6531194.034450483,6880529.9253424,5750147.721817907,5793602.546004281,6610874.691416305,7462185.165048322,7419932.4421430705
2016-09-30,5610823.802928118,4949180.54058983,6170462.846269307,6335293.13810915,6669821.817443087,5574056.234308616,5616180.307001641,6470550.59412988,7308583.385963929,7267200.3945062095
2016-10-31,5090179.850620441,4508292.850477494,5597888.431813606,5742264.058868265,6050910.4954506755,5056824.049022806,5095039.309341619,5894134.74470343,6651529.338513978,6613866.75285346
2016-11-30,5284559.565191739,4711107.598156142,5811656.114572045,5962862.083567641,6262665.37141573,5260087.227582216,5289604.593344943,6140385.161170296,6930988.238061701,6905067.957065915
